"","Site","Sat","LINEAGEQA","LINEAGEQA1","PIXELQA","PIXELQA1","RADSATQA","RADSATQA1","SRAEROSOLQA","SRATMOSOPACITYQA","SRATMOSOPACITYQA1","SRB1","SRB11","SRB2","SRB21","SRB3","SRB31","SRB4","SRB41","SRB5","SRB51","SRB6","SRB7","SRB71","SRCLOUDQA","SRCLOUDQA1","SatDate","Chlorophyll","TSS","SampleDate","DayDif"
"1","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,1.697037871,13.75,2008-02-12,30
"2","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,4.94511786,2.355,2008-04-08,86
"3","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,12.33928779,NA,2008-06-03,142
"4","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,NA,6.075,2008-06-10,149
"5","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,2.863594485,1.445,2008-07-08,177
"6","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,4.804769649,1.977898551,2008-08-06,206
"7","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,3.938470091,1.14375,2008-09-08,239
"8","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,3.870153423,0.98,2008-10-07,268
"9","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,NA,4.25,2008-11-04,296
"10","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,2.433603857,NA,2008-11-11,303
"11","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,3.284016156,5.25,2008-12-02,324
"12","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,1.678137059,6.9,2009-01-06,359
"13","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,108.0338933,9.25,2009-02-03,387
"14","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,152.7740611,NA,2009-03-03,415
"15","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,NA,3.3125,2009-03-12,424
"16","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,63.50909726,2.825,2009-04-07,450
"17","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,22.59796739,NA,2009-05-05,478
"18","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,42.91444778,NA,2009-06-02,506
"19","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,30.29164743,NA,2009-07-07,541
"20","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,27.79317988,NA,2009-08-04,569
"21","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,4.299673843,NA,2009-09-01,597
"22","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,3.547012241,NA,2009-10-06,632
"23","B1",7,2,NA,68,NA,0,NA,NA,9,NA,379.5,NA,521.5,NA,557.5,NA,153,NA,34,NA,NA,NA,NA,32,NA,2008-01-13,2.74286556,NA,2009-11-03,660
"24","B1",8,1,NA,324,NA,0,NA,68,NA,NA,226,NA,445,NA,339.5,NA,38.5,NA,14,NA,14,14.5,NA,NA,NA,2017-03-09,32.7175,10.46,2017-03-07,2
"25","B1",8,2,NA,324,NA,0,NA,68,NA,NA,284.5,NA,391.5,NA,293,NA,133,NA,76.5,NA,76.5,58.5,NA,NA,NA,2017-04-03,7.065,6.6,2017-04-04,1
"26","B1",7,1,NA,68,NA,0,NA,NA,9,NA,290,NA,446.5,NA,319.5,NA,193,NA,70.5,NA,NA,41,NA,36,NA,2017-05-04,86.1,12.12,2017-05-04,0
"27","B1",7,2,NA,68,NA,0,NA,NA,8,NA,478,NA,644.5,NA,486.5,NA,392.5,NA,193.5,NA,NA,179,NA,36,NA,2017-05-29,150.2375,15.8,2017-06-01,3
"28","B1",8,1,NA,324,NA,0,NA,68,NA,NA,647,NA,728,NA,667,NA,617.5,NA,555,NA,555,448,NA,NA,NA,2017-07-15,16.1875,2.62,2017-07-13,2
"29","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-08-01,7.4325,1.68,2017-08-03,2
"30","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-09-09,11.61,3.316666667,2017-09-07,2
"31","B1",8,1,NA,324,NA,0,NA,68,NA,NA,164,NA,210,NA,117.5,NA,39,NA,32.5,NA,32.5,24,NA,NA,NA,2017-10-03,20.8275,3.388888889,2017-10-03,0
"32","B1",8,1,NA,992,NA,0,NA,8,NA,NA,607.5,NA,677,NA,569.5,NA,551.5,NA,566,NA,566,489.5,NA,NA,NA,2017-11-20,5.2275,2.596153846,2017-11-17,3
"33","B1",8,1,NA,324,NA,0,NA,68,NA,NA,332,NA,454,NA,259,NA,45,NA,25.5,NA,25.5,21,NA,NA,NA,2017-12-06,7.62,4.230769231,2017-12-06,0
"34","B1",8,1,NA,324,NA,0,NA,68,NA,NA,272.5,NA,434,NA,212.5,NA,27,NA,33.5,NA,33.5,35,NA,NA,NA,2018-01-23,5.286666667,3.233333333,2018-01-23,0
"35","B1",8,1,NA,324,NA,0,NA,68,NA,NA,214.5,NA,297,NA,132,NA,30,NA,27,NA,27,24,NA,NA,NA,2018-02-08,10.17666667,2.85,2018-02-07,1
"36","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.99,0.77,2008-07-24,193
"37","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,1.357342922,1.19,2008-09-02,233
"38","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,4.620945954,1.52,2008-09-30,261
"39","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,2.519525743,0.953333333,2008-10-29,290
"40","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.744249337,1.04,2008-12-03,325
"41","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,1.121706795,0.793333333,2009-01-06,359
"42","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,1.85727318,1.08,2009-02-03,387
"43","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.303512256,0.41,2009-03-12,424
"44","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.303512256,0.305,2009-04-07,450
"45","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,3.41,1.12,2009-05-05,478
"46","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.85,NA,2009-06-02,506
"47","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.56,NA,2009-07-06,540
"48","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.38,NA,2009-08-04,569
"49","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.61,NA,2009-09-01,597
"50","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.93,NA,2009-10-06,632
"51","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.92,NA,2009-11-03,660
"52","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.68,NA,2009-12-01,688
"53","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,1.61,NA,2010-01-06,724
"54","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,0.24,NA,2010-02-02,751
"55","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,1.3,NA,2010-03-03,780
"56","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,1.33,NA,2010-04-13,821
"57","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,3.95,NA,2010-05-06,844
"58","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,1.609572266,NA,2010-06-03,872
"59","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2008-01-13,1.2,NA,2010-07-08,907
"60","P1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-04-03,6.640833333,0.87,2017-04-06,3
"61","P1",7,1,NA,68,NA,0,NA,NA,8.33333333333333,NA,366,NA,389.666666666667,NA,331,NA,305.333333333333,NA,220.666666666667,NA,NA,205.666666666667,NA,36,NA,2017-05-04,2.78625,1.16,2017-05-04,0
"62","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-05-29,8.181666667,2.4,2017-06-01,3
"63","P1",8,1,NA,324,NA,0,NA,68,NA,NA,434.333333333333,NA,481.666666666667,NA,289.666666666667,NA,210,NA,178,NA,178,141.333333333333,NA,NA,NA,2017-07-15,4.055,2.97,2017-07-13,2
"64","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-08-01,3.784166667,1.84,2017-08-03,2
"65","P1",7,1,NA,224,NA,0,NA,NA,181,NA,3190,NA,3395.66666666667,NA,3578.33333333333,NA,3954.33333333333,NA,3870,NA,NA,3432.33333333333,NA,2,NA,2017-09-09,1.6975,1.0625,2017-09-07,2
"66","P1",8,1,NA,324,NA,0,NA,68,NA,NA,266.666666666667,NA,237.666666666667,NA,139.333333333333,NA,86.3333333333333,NA,66.6666666666667,NA,66.6666666666667,58.6666666666667,NA,NA,NA,2017-10-03,3.304166667,1.37,2017-10-03,0
"67","P1",8,1,NA,324,NA,0,NA,68,NA,NA,324,NA,303.333333333333,NA,164.666666666667,NA,82.3333333333333,NA,60.6666666666667,NA,60.6666666666667,49,NA,NA,NA,2017-12-06,2.11275,2.48,2017-12-06,0
"68","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2018-01-24,1.48175,1.0875,2018-01-24,0
"69","P1",8,1,NA,324,NA,0,NA,68,NA,NA,244,NA,214.333333333333,NA,75.6666666666667,NA,19,NA,17.3333333333333,NA,17.3333333333333,13.3333333333333,NA,NA,NA,2018-02-08,2.63375,2.6625,2018-02-07,1
"70","P4",8,1,NA,324,NA,0,NA,68,NA,NA,185.5,NA,210,NA,64.5,NA,12.5,NA,9,NA,9,9.5,NA,NA,NA,2017-03-09,3.58825,3.195,2017-03-08,1
"71","P4",7,1,NA,68,NA,0,NA,NA,8,NA,228,NA,243,NA,147.5,NA,141,NA,70,NA,NA,84.5,NA,32,NA,2017-05-04,7.740625,1.57,2017-05-04,0
"72","P4",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-05-29,7.328333333,1.64,2017-06-01,3
"73","P4",8,1,NA,324,NA,0,NA,68,NA,NA,443.5,NA,488.5,NA,289.5,NA,215.5,NA,177.5,NA,177.5,142,NA,NA,NA,2017-07-15,5.966666667,2.38,2017-07-13,2
"74","P4",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-08-01,5.464166667,2.14,2017-08-03,2
"75","P4",7,1,NA,224,NA,0,NA,NA,181,NA,3470,NA,3668,NA,3846.5,NA,4199,NA,3867,NA,NA,3559,NA,2,NA,2017-09-09,2.255,1.6625,2017-09-07,2
"76","P4",8,1,NA,324,NA,0,NA,68,NA,NA,274.5,NA,245,NA,140,NA,80,NA,66,NA,66,55.5,NA,NA,NA,2017-10-03,3.151666667,1.24,2017-10-03,0
"77","P4",8,1,NA,324,NA,0,NA,68,NA,NA,297.5,NA,289.5,NA,146.5,NA,50,NA,31,NA,31,20,NA,NA,NA,2017-12-06,1.31825,1.82,2017-12-06,0
"78","P4",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2018-01-24,1.7255,1.6125,2018-01-24,0
"79","P4",8,1,NA,324,NA,0,NA,68,NA,NA,228.5,NA,191.5,NA,70,NA,13.5,NA,16,NA,16,12,NA,NA,NA,2018-02-08,2.2475,0.9375,2018-02-07,1
"80","S1",8,2,NA,324,NA,0,NA,68,NA,NA,34,NA,99.6666666666667,NA,44.3333333333333,NA,25.3333333333333,NA,31,NA,31,22.6666666666667,NA,NA,NA,2017-03-09,7.2825,3.06,2017-03-07,2
"81","S1",8,2,NA,324,NA,0,NA,68,NA,NA,330,NA,342.666666666667,NA,260.333333333333,NA,249.333333333333,NA,205,NA,205,168.333333333333,NA,NA,NA,2017-04-03,6.9,2.36,2017-04-04,1
"82","S1",7,2,NA,68,NA,0,NA,NA,8,NA,431,NA,487.666666666667,NA,417.333333333333,NA,374.333333333333,NA,284,NA,NA,227,NA,40,NA,2017-05-04,4.7775,4,2017-05-03,1
"83","S1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-06-05,15.2925,4.64,2017-06-02,3
"84","S1",8,2,NA,324,NA,0,NA,68,NA,NA,232.666666666667,NA,346.333333333333,NA,229,NA,155,NA,130,NA,130,106,NA,NA,NA,2017-07-15,19.7325,4.166666667,2017-07-15,0
"85","S1",7,2,NA,224,NA,2,NA,NA,84,NA,20000,NA,3303.33333333333,NA,3584,NA,4205.33333333333,NA,3864,NA,NA,3362,NA,2,NA,2017-08-01,36.73333333,5.666666667,2017-08-04,3
